,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,arrivé,come
20,20,devrait,should
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,pourrais,could
34,35,affaire,case
35,36,donner,give
36,37,type,type
37,38,leurs,their
38,39,donné,given
39,40,train,train
40,41,corps,body
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,trouve,find
45,46,premier,first
46,47,perdu,lost
47,48,main,hand
48,49,première,first
49,50,côté,side
50,51,pouvoir,power
51,52,vieux,old
52,53,sois,be
53,54,matin,morning
54,55,tellement,so much
55,56,enfant,child
56,57,point,point
57,58,venu,came
58,59,suite,after
59,60,pardon,sorry
60,61,devant,in front of
61,62,vers,towards
62,63,minutes,minutes
63,64,demandé,request
64,65,chambre,bedroom
65,67,belle,beautiful
66,68,droit,law
67,69,aimerais,would like to
68,70,aujourd'hui,today
69,71,mari,husband
70,72,cause,cause
71,73,enfin,finally
72,74,espère,hope
73,75,eau,water
74,76,attendez,Wait
75,77,parti,left
76,78,nouvelle,new
77,79,boulot,job
78,80,arrêter,Stop
79,81,dirait,would say
80,82,terre,Earth
81,83,compte,account
82,84,donne,given
83,85,loin,far
84,86,fin,end
85,87,croire,believe
86,88,chérie,sweetheart
87,89,gros,large
88,90,plutôt,rather
89,91,aura,will have
90,92,filles,girls
91,93,jouer,to play
92,94,bureau,office
